台灣頻道-安博,#genre#
台视财经台,P2p://generationnexxxt.com:19806/e01d7738e33e456a812f7cefbf27b29a
CNN,P2p://generationnexxxt.com:19806/cc0fd522ff3f4f37a53773c138dacac1
now财经台,P2p://generationnexxxt.com:19806/88f95058c046453a973e2540701ccb4e
东森新闻台(备),P2p://generationnexxxt.com:19806/35983e2efd5c44bf84bfb2977bbbc96d
镜新闻,P2p://generationnexxxt.com:19806/668a0abb880a496d8f57fad2f580566b
now新闻台,P2p://generationnexxxt.com:19806/d7a5bbf5664945cc8589b36b8434d68d
Fox News,P2p://generationnexxxt.com:19806/6579228d000333673171faee60517ea8
BBC World News,P2p://generationnexxxt.com:19806/6579228c000c47523171f9583333664f
CNN USA,P2p://generationnexxxt.com:19806/6579228c000644123171f7d14c4002bd
CBC News,P2p://generationnexxxt.com:19806/6579228b000ea7c13171f60c6a0d21f3
MSNBC,P2p://generationnexxxt.com:19806/6579228b000782ab3171f43764692427
CTV News,P2p://generationnexxxt.com:19806/6579228b0000fa413171f29242d67919
Business News Network,P2p://generationnexxxt.com:19806/6579228a00091f3e3171f0bd49686fdf
CP24,P2p://generationnexxxt.com:19806/6579228a000310453171ef2756ac0145
The Weather Network,P2p://generationnexxxt.com:19806/65792289000be5843171ed9050240875
The Weather Channel,P2p://generationnexxxt.com:19806/65792289000516983171ebcb68d70d48
香港国际财经台,P2p://generationnexxxt.com:19806/6aa47af091b54d618d1513b1bc23b0b9
无线财经体育资讯台(B),P2p://generationnexxxt.com:19806/acf61c067b48468dbdf3ae976c322d1a
年代新闻,P2p://generationnexxxt.com:19806/65ddd162000837a5babd25111eb9560c
天微科技,https://vd2.bdstatic.com/mda-maqfk730tsig88wr/v2-hknm/1080p/mda-maqfk730tsig88wr.mp4
中天新闻台(B),P2p://generationnexxxt.com:19806/e92e93fd67794e92acdc0d4005f0781a
无线新闻台(B),P2p://generationnexxxt.com:19806/85a50e6db781406bacc41b10a75a70d5
now财经台(B),P2p://generationnexxxt.com:19806/3a492b41b36f45acab0b75396aadc32d
Fox News(B),P2p://generationnexxxt.com:19806/f995b6bf60d241828966663608f77e2b
三立iNEWS(B),P2p://generationnexxxt.com:19806/31103be1231e435ab69fdc1492cf08ee
香港国际财经台(B),P2p://generationnexxxt.com:19806/f3cb31dde1e040a4a30f89e8f95beea7
BBC World News(B),P2p://generationnexxxt.com:19806/323c575f4f694f739cd9f7a945075cef
now新闻台(B),P2p://generationnexxxt.com:19806/5c263253cf5241b1a155f0b1b85edea1
三立新闻台(B),P2p://generationnexxxt.com:19806/96118abbe8ee48ddaef2c9c1cea1af04
东森新闻台(B),P2p://generationnexxxt.com:19806/7bbf7bf4cb8f4a58893f6b5017a9fe05
TVBS新闻台(B),P2p://generationnexxxt.com:19806/65fa6dc600095b662a8020fe14c65804
年代新闻(B),P2p://generationnexxxt.com:19806/65fa6ea5000ec21a2a83897e03cd44bb
非凡新闻台(B),P2p://generationnexxxt.com:19806/65fa6fc4000df93d2a87ea67255a50ce


少兒頻道-安博,#genre#
Leigha Marina,https://z88.ubtvfans.com/live/rx6/313/4396273dc2b1fbb9f3e4ef07af3b773c/index.m3u8
MOMO親子,https://z88.ubtvfans.com/live/rx1/2767/721a2c596d029fba059085f169da4f2c/index.m3u8
MOMO親子,https://z88.ubtvfans.com/live/rx3/1126/e784303c7c9eed38bde81d3a18ea6a7b/index.m3u8
東森幼幼（備）,https://z88.ubtvfans.com/live/rx1/2771/f80a3de4ce304ed26c613af4bd3a171e/index.m3u8
東森幼幼,https://z88.ubtvfans.com/live/rx1/371/0fd95cba4794f8bed187c2bcfa9c47d1/index.m3u8
東森亞洲呦呦,https://z88.ubtvfans.com/live/rx1/293/25103d9c3ad2b7e2fffb4765fce2b7fb/index.m3u8
CN Asia,https://z88.ubtvfans.com/live/rx6/2768/a9a814d76242121e4f2cbe66a0ec41b5/index.m3u8
Nick Jr.,https://z88.ubtvfans.com/live/rx3/50/d99c73beac78ca613cac573ae7650726/index.m3u8
PAW Patrol,https://z88.ubtvfans.com/live/rx6/2226/84a753c3a559092b39949999414893aa/index.m3u8
Spidey,https://z88.ubtvfans.com/live/rx6/2270/624cb5cf1dae808a7ba07e188c5dbd2c/index.m3u8
Dreamworks,https://z88.ubtvfans.com/live/rx1/48/5c5c9aa7907a8da4fe48f9933cf8089d/index.m3u8
CN卡通,https://z88.ubtvfans.com/live/rx1/107/ae0e370ee1bae0bb609295802c3b5214/index.m3u8
Curious George,https://z88.ubtvfans.com/live/rx6/173/da2b0d9c158691e834593898f1970126/index.m3u8
Gabby Dollhouse,https://z88.ubtvfans.com/live/rx6/1344/ff71c8464149758a6fc628ce4c87c479/index.m3u8
Animax,https://z88.ubtvfans.com/live/rx1/59/cb49382c9457a5f3586f9e0635594838/index.m3u8
Bluey,https://z88.ubtvfans.com/live/rx6/143/8ff64aedd8f3248ca51b69a7c52feab0/index.m3u8
靖洋卡通,https://z88.ubtvfans.com/live/rx1/348/f46f118edd38e34cf5f65affac4835dd/index.m3u8
YOYO TV,https://z88.ubtvfans.com/live/rx6/340/02ccfece6444b964f8996cbe56ee28a5/index.m3u8
靖天卡通,https://z88.ubtvfans.com/live/rx1/344/f577021ae68af926ae8d3a80049e4541/index.m3u8
i-Fun動漫,https://z88.ubtvfans.com/live/rx2/1127/fb9c792790b1ed7dd6ccccbd5895b458/index.m3u8
i-Fun動漫,https://z88.ubtvfans.com/live/rx1/2802/ea90ad21d35b54b28198d9fac02fba8a/index.m3u8
達文西,https://z88.ubtvfans.com/live/rx3/68/362719c5d92bd192ea01bf1248e4a7fc/index.m3u8
Baby TV,https://z88.ubtvfans.com/live/rx6/1129/51c235219afea879cb992e48eb35a53f/index.m3u8
Treehouse,https://z88.ubtvfans.com/live/rx3/55/788583370cb33f8357308e1fdae5ee1c/index.m3u8
Nickj,https://z88.ubtvfans.com/live/rx3/53/ffb3409478def0980111668eb6526b85/index.m3u8
Disney,https://z88.ubtvfans.com/live/rx4/5/4fa8f09e74698e88155754278762a2b7/index.m3u8
Disneyxd,https://z88.ubtvfans.com/live/rx4/31/fab483586fbf9de83a7254e721c8a692/index.m3u8
Disneyj,https://z88.ubtvfans.com/live/rx3/47/39c7dd2d7920509a90d0d9dd90dba500/index.m3u8
Boomerang,https://z88.ubtvfans.com/live/rx1/57/68a6c978817ba55956fec930f8aef062/index.m3u8
Disney Junior,https://z88.ubtvfans.com/live/rx6/460/c5e394adee2681238a6f04b34d750090/index.m3u8
Hogi,https://z88.ubtvfans.com/live/rx6/2346/fcb4d0b53ac8c5b8500744bf8396a42e/index.m3u8
Baby Shark,https://z88.ubtvfans.com/live/rx6/1399/b3e68239a18e9a5d501c8f5b43659248/index.m3u8
Phineas and Ferb,https://z88.ubtvfans.com/live/rx6/1098/848c9812046f0b479aacf9e590ac862f/index.m3u8
Robocar POLI,https://z88.ubtvfans.com/live/rx6/298/9390a2156ab83bdeb5ff4d21f0d66bb5/index.m3u8
SpongeBob,https://z88.ubtvfans.com/live/rx6/1094/e825ce577b1e88f56fbaa5dfa9fc3a7b/index.m3u8
Baby Zoo Songs,https://z88.ubtvfans.com/live/rx6/2438/331e0cf6c9a0c22f9c9f375336f5dcc0/index.m3u8
朱妮托尼,https://z88.ubtvfans.com/live/rx6/2537/c19bc4d21ab421f6618aa48064e6786f/index.m3u8
Beep Beep,https://z88.ubtvfans.com/live/rx6/3015/f270d739f6e0bc11bb2095230e4563d5/index.m3u8
Super Heroes,https://z88.ubtvfans.com/live/rx6/2978/ce1f4fa827249995f5753e058545d453/index.m3u8
Winnie,https://z88.ubtvfans.com/live/rx6/3018/19d17c2b1a13b95b49abefe2cb0e1726/index.m3u8
Bebefinn,https://z88.ubtvfans.com/live/rx6/489/61e04f306677de01b1b719e8a56e7352/index.m3u8
音樂宗教-安博,#genre#
好消息,https://z88.ubtvfans.com/live/rx1/104/ee07571be25fcadb0ba2b662aef072db/index.m3u8
好消息2,https://z88.ubtvfans.com/live/rx1/363/4f45e054be8b9d43aef8e866812fd1dd/index.m3u8
輕柔音樂,https://z88.ubtvfans.com/live/rx6/393/263500d6c93cbcf2bf751cd085acbfd0/index.m3u8
Water Sounds,https://z88.ubtvfans.com/live/rx6/496/709bc467cf8a0cc6bb0fe36a886cf7d5/index.m3u8
Hits Radio,https://z88.ubtvfans.com/live/rx6/4/51324029bec78bf0503e147a2116bf7b/index.m3u8
Unbelievable Beauty,https://z88.ubtvfans.com/live/rx6/1002/5180bb60cce8e8fff5ba6c1291f4a269/index.m3u8
Relaxing Music,https://z88.ubtvfans.com/live/rx6/151/5ef336bd565834eaba4cade2cf350ebe/index.m3u8
Relaxing Jazz Piano,https://z88.ubtvfans.com/live/rx6/1351/3d435e4af416080cd5ca5512a4893615/index.m3u8
輕鬆音樂,https://z88.ubtvfans.com/live/rx6/1361/8104b38d50f0b175aff360208b01fc35/index.m3u8
One World Radio,https://z88.ubtvfans.com/live/rx6/1153/1b8c54f4a2a59db9d4e20e1b90c485ba/index.m3u8
Mezzo Live,https://z88.ubtvfans.com/live/rx1/60/8793314eeab06f1a6c51ce220f3fa99b/index.m3u8
8FM,https://z88.ubtvfans.com/live/rx6/9/b60ff6abf03a07061d29ec189401731f/index.m3u8
Lofi Hip Hop,https://z88.ubtvfans.com/live/rx6/2350/c9f39fa9516a3a49adcfcab243c0b0f6/index.m3u8
Eight FM,https://z88.ubtvfans.com/live/rx6/1021/61d35c061c716d67cd7302aa875dbdf5/index.m3u8
自然の音,https://z88.ubtvfans.com/live/rx6/1138/4207cb431cab6e07620de8b3bcabd881/index.m3u8
4K Nature,https://z88.ubtvfans.com/live/rx6/1015/ae4b64e1e02381688c8315dc61725f1b/index.m3u8
Coffee Jazz,https://z88.ubtvfans.com/live/rx6/1019/8d5427dfe678b8cf87a050fdbc78208b/index.m3u8
Space Ambient,https://z88.ubtvfans.com/live/rx6/1005/2a6e9bbe0d3010cd16f46b5e04927a58/index.m3u8
Rolling Cam Venice,https://z88.ubtvfans.com/live/rx6/1007/3ecb1930e55701f32e4e0cee39d91ced/index.m3u8
大愛一臺,https://z88.ubtvfans.com/live/rx6/11/79c9c9e7e7068753ca822e3598e19eec/index.m3u8
大愛二臺,https://z88.ubtvfans.com/live/rx6/197/903a28d4e38b90dd8b75f5402dbb1fb4/index.m3u8
Baroque Live Music,https://z88.ubtvfans.com/live/rx6/1027/c211f3d6fe293e4d7152ac2cee5a8e2b/index.m3u8
唯心電視,https://z88.ubtvfans.com/live/rx1/1150/0021ffaf534756bb58442f068eff051a/index.m3u8
人間衛視,https://z88.ubtvfans.com/live/rx6/101/947b2d705ed64f1b240e2b90d6dfb58f/index.m3u8
Good Life Radio,https://z88.ubtvfans.com/live/rx6/1152/e9e7d82f2146997265dae55daf067874/index.m3u8
Rainy Jazz,https://z88.ubtvfans.com/live/rx6/1089/8fab10fdbdf0bfe252185d2a2fb9a2aa/index.m3u8
Deep House Radio,https://z88.ubtvfans.com/live/rx6/1090/353aa70a62a3f2c5a656fee9ca811c25/index.m3u8
Sleeping Music,https://z88.ubtvfans.com/live/rx6/1087/44b46f24742b89bb3a92dbdfd6d0093e/index.m3u8
Relaxing Piano Collection,https://z88.ubtvfans.com/live/rx6/1088/a61eb74265c6a3b0c8d7ffad76717b6e/index.m3u8
Trace Urban,https://z88.ubtvfans.com/live/rx1/1003/565b5263b2952757a4f53a3fc610b8ce/index.m3u8
佛衛慈悲台,https://z88.ubtvfans.com/live/rx6/1306/ead0dd62bc1bb64af19c80730806f8b2/index.m3u8
生命電視,https://z88.ubtvfans.com/live/rx3/1124/9570974b045c13b4da97f5e72c6dfbaa/index.m3u8
華藏電視,https://z88.ubtvfans.com/live/rx6/1053/d6d19fc3c82f8bde8922343ec0027587/index.m3u8
西洋排行榜,https://z88.ubtvfans.com/live/rx6/1602/f0f75c935657db3840e96d6da5ee789e/index.m3u8
治愈音樂,https://z88.ubtvfans.com/live/rx6/1503/826513e8897154dd281dd9d8a237311e/index.m3u8
正德電視,https://z88.ubtvfans.com/live/rx6/42/756d37d270af848a56d4a7d3a926c744/index.m3u8
SupremeMasterTV,https://z88.ubtvfans.com/live/rx6/323/d5baa4b1937a9f8e30f811482c77e40e/index.m3u8
鳥鳴音樂,https://z88.ubtvfans.com/live/rx6/1407/894306f2b41aa85e2cdb6fd0e1e367d0/index.m3u8
GRASS COTTON,https://z88.ubtvfans.com/live/rx6/3221//index.m3u8
Heavenly Harp Music,https://z88.ubtvfans.com/live/rx6/2540/6b27c84e9d8b03571ed8e0638c190d0f/index.m3u8
大陸頻道-安博,#genre#
CGTN English,https://z88.ubtvfans.com/live/rx3/2362//index.m3u8
CGTN Documentary,https://z88.ubtvfans.com/live/rx3/2363//index.m3u8
CGTN Français,https://z88.ubtvfans.com/live/rx3/2364//index.m3u8
CGTN Español,https://z88.ubtvfans.com/live/rx3/317/10f741e021f81e94e5d99407b893f2b1/index.m3u8
CGTN العربية,https://z88.ubtvfans.com/live/rx3/1004/cae4495a5bf3d512dfdc22aaa2988dc8/index.m3u8
CCTV1,https://z88.ubtvfans.com/live/rx1/200/e5159301cd4aaf84a7f39915d463a106/index.m3u8
CCTV1,https://z88.ubtvfans.com/live/rx1/2305/33545cc7858137acae827ca84a574951/index.m3u8
CCTV2,https://z88.ubtvfans.com/live/rx1/201/72c3320633f511d538db55c14a9fb809/index.m3u8
CCTV2,https://z88.ubtvfans.com/live/rx1/2763/d09f8cc20e776c222438f52476bab03a/index.m3u8
CCTV3,https://z88.ubtvfans.com/live/rx3/202/fc79bd267d53db86c843141d79588ab3/index.m3u8
CCTV3,https://z88.ubtvfans.com/live/rx1/2808/184ae3594c7818808f852cc6988b4525/index.m3u8
CCTV4,https://z88.ubtvfans.com/live/rx6/248/eddc8a9edeb7d06a4cd9491ff1c4c4a4/index.m3u8
CCTV4,https://z88.ubtvfans.com/live/rx3/203/a90506bab6678c2b41ef34ae66a04425/index.m3u8
CCTV4,https://z88.ubtvfans.com/live/rx1/2764/5dab88f91c31d691a2ec082226404cf1/index.m3u8
CCTV5,https://z88.ubtvfans.com/live/rx1/204/7eb3bfaf347e514a453b161277aa01f3/index.m3u8
CCTV5,https://z88.ubtvfans.com/live/rx1/2760/ef7b429ab611f4f754b38762aeaee07c/index.m3u8
CCTV5plus,https://z88.ubtvfans.com/live/rx1/205/bbae16a4af97900c4a075180f6d001f9/index.m3u8
CCTV5plus,https://z88.ubtvfans.com/live/rx1/2759/78abaaa94e5e5b85ca7e9c554abb50d1/index.m3u8
CCTV6,https://z88.ubtvfans.com/live/rx1/206/22c8d0a177803e1a378082c851a16007/index.m3u8
CCTV6,https://z88.ubtvfans.com/live/rx1/2758/8cb61b011e12f5097b0708e3a1913bb6/index.m3u8
CCTV7,https://z88.ubtvfans.com/live/rx1/207/439e4808970949d57722eea042cfff77/index.m3u8
CCTV7,https://z88.ubtvfans.com/live/rx1/2757/a75508a147ffe80a289d9674f341441d/index.m3u8
CCTV8,https://z88.ubtvfans.com/live/rx1/208/c11e1abfdb3e38f2c3427a2d50622889/index.m3u8
CCTV8,https://z88.ubtvfans.com/live/rx1/2756/3264b53dafea8b85576d0327cc68a6c8/index.m3u8
CCTV9,https://z88.ubtvfans.com/live/rx1/2308/b9274dbd51113ace3244a6927beeeca3/index.m3u8
CCTV9,https://z88.ubtvfans.com/live/rx1/209/a4ec75f7403274e6b091bef73881603b/index.m3u8
CCTV10,https://z88.ubtvfans.com/live/rx1/210/a28130d460715803b16001174421cefd/index.m3u8
CCTV11,https://z88.ubtvfans.com/live/rx1/2809/8305b7a0194bac43f9b4eac6a00a1824/index.m3u8
CCTV11,https://z88.ubtvfans.com/live/rx1/211/38b8233ac67e474eff44b4acacf8cca2/index.m3u8
CCTV12,https://z88.ubtvfans.com/live/rx1/212/b617c31586b3a320062ec62c7b4e93d5/index.m3u8
CCTV12,https://z88.ubtvfans.com/live/rx3/2755/f9c4e398e4d37cc801b31981ab3f48ef/index.m3u8
CCTV13,https://z88.ubtvfans.com/live/rx1/213/4985ed10e25b72869efa7f2f7b839f1a/index.m3u8
CCTV13,https://z88.ubtvfans.com/live/rx1/2754/6af3790526c998efb530dbc9753488ed/index.m3u8
CCTV14,https://z88.ubtvfans.com/live/rx1/214/263d5992b4318745a17263662c242200/index.m3u8
CCTV14,https://z88.ubtvfans.com/live/rx1/2826/d67e1463762a9812875a58ce0777214a/index.m3u8
CCTV15,https://z88.ubtvfans.com/live/rx1/215/f205393253508a0862e35601340344ef/index.m3u8
CCTV16,https://z88.ubtvfans.com/live/rx1/2821/e00bc8abdb50b2a016e41028e1dffee2/index.m3u8
浙江卫视,https://z88.ubtvfans.com/live/rx1/217/c92ed1fc7f9382552a0184d5e46fdbbc/index.m3u8
江苏卫视,https://z88.ubtvfans.com/live/rx1/2829/077e7af98e1de16de437dc2b20634eb0/index.m3u8
江苏卫视,https://z88.ubtvfans.com/live/rx1/218/de26a021175af7cdc84af7e842ed4c6e/index.m3u8
南方卫视,https://z88.ubtvfans.com/live/rx1/219/a4076aa3ad46738502de3ef24ca930cd/index.m3u8
北京卫视,https://z88.ubtvfans.com/live/rx1/220/de780f9f4581584d4c9cb4536ea5355f/index.m3u8
广东卫视,https://z88.ubtvfans.com/live/rx1/231/4af913dbb7327724e4dfeaf41bfed24d/index.m3u8
广东卫视,https://z88.ubtvfans.com/live/rx1/1499/146020831c5118e1fad955a8c38fc03f/index.m3u8
东方卫视,https://z88.ubtvfans.com/live/rx1/224/c54ace8dbf76790c64f75dc561d1414a/index.m3u8
河南卫视,https://z88.ubtvfans.com/live/rx1/225/037819bb33d6b7e900acc8e2302c1401/index.m3u8
湖南卫视,https://z88.ubtvfans.com/live/rx1/226/55a22545744461ea0ae4b1df0869aade/index.m3u8
湖北卫视,https://z88.ubtvfans.com/live/rx1/227/068b04781b056d2c3151648287ed6517/index.m3u8
东南卫视,https://z88.ubtvfans.com/live/rx1/228/df0d0f989d2e07d9530a01d006320ea7/index.m3u8
辽宁卫视,https://z88.ubtvfans.com/live/rx1/229/d82f9e1c481058d83aa4077519fe70c7/index.m3u8
深圳卫视,https://z88.ubtvfans.com/live/rx1/230/8e55252956b8db62fe71f0213262c4ad/index.m3u8
安徽卫视,https://z88.ubtvfans.com/live/rx1/232/37d076720cf1b27245d46398e1ccaef2/index.m3u8
安徽卫视,https://z88.ubtvfans.com/live/rx1/2830/6784d3e94e7e5ce76a21d9158379ca95/index.m3u8
四川卫视,https://z88.ubtvfans.com/live/rx1/233/51e0ac8ddef10dc81035c0ea50fa3afc/index.m3u8
山东卫视,https://z88.ubtvfans.com/live/rx1/234/19b243d3561bf3f7f8e9367065c9f44d/index.m3u8
青田電視台,https://z88.ubtvfans.com/live/rx3/2295/ff7b3dbe71946107d166217b4a83db2f/index.m3u8
天津衛視,https://z88.ubtvfans.com/live/rx1/1093/adeb7b360467105c8d33e687502e109b/index.m3u8
江西衛視,https://z88.ubtvfans.com/live/rx1/1097/6e9413a31431921c54782277b6fb20bd/index.m3u8
新疆衛視,https://z88.ubtvfans.com/live/rx1/1026/f132bd0fa604fc62e3dac4fee0c20ec2/index.m3u8
にっぽん-安博,#genre#
JapaNews24,https://z88.ubtvfans.com/live/rx6/425/2068e40104b77f2e3a1e14c002c9f2a3/index.m3u8
スカイA,https://z88.ubtvfans.com/live/rx3/2433/adb519b8f66daf5107d7e36c2af94718/index.m3u8
ANN/テレ朝,https://z88.ubtvfans.com/live/rx6/1502/f582321dca00d3a457c43c04e6bd65c9/index.m3u8
日テレニュース24,https://z88.ubtvfans.com/live/rx3/292/813ebfcf2d0640c8312ff14f436ac63d/index.m3u8
フジone,https://z88.ubtvfans.com/live/rx3/2300/182c37468ec97abeb9f46751f93f3436/index.m3u8
フジ two,https://z88.ubtvfans.com/live/rx3/2301/0d4e5b546146dc7662935abfdc41cb9b/index.m3u8
フジ next,https://z88.ubtvfans.com/live/rx3/2750/766ec1cacaf78ac524de6f072c4452a6/index.m3u8
KANSAI News24,https://z88.ubtvfans.com/live/rx6/247/e5a4ff0b5854421b891ec4f4f4eef8e9/index.m3u8
メ～テレNEWS,https://z88.ubtvfans.com/live/rx6/245/9ca001fc38d729275711a30614f6318b/index.m3u8
広島ニュース,https://z88.ubtvfans.com/live/rx6/1095/cfb01c5e12ccb70f0277385882b36cfd/index.m3u8
TBS NEWS,https://z88.ubtvfans.com/live/rx6/1096/f9beca73953154322f40e56916eab863/index.m3u8
RKB NEWS 24,https://z88.ubtvfans.com/live/rx6/1043/73edc9c1f75848b1bb19da4fcc0e4b6e/index.m3u8
STV NEWS,https://z88.ubtvfans.com/live/rx6/1500/d383a16db259a7de14fdad9ba92757f5/index.m3u8
テレ朝チャンネル1,https://z88.ubtvfans.com/live/rx3/2271/275cabeb959db82fb141bcff1292b00e/index.m3u8
テレ朝チャンネル2,https://z88.ubtvfans.com/live/rx3/2344/34fa0142ee012973d60a5ffd0e5edd8d/index.m3u8
スポーツライブ＋,https://z88.ubtvfans.com/live/rx3/2343/25566560d1da4817e93ad97fc969ebce/index.m3u8
読売テレビ,https://z88.ubtvfans.com/live/rx3/198/43ee31492a4f76ba5bce05f15f4c39f7/index.m3u8
関西テレビ,https://z88.ubtvfans.com/live/rx3/235/b28228bfc0bc718bcfac026ad772af09/index.m3u8
BS日テレ,https://z88.ubtvfans.com/live/rx3/240/024b12ffdc89025a48f1fb4142baf3d2/index.m3u8
BS朝日,https://z88.ubtvfans.com/live/rx3/241/d820512735922c3fc0f0f9e8ea484df5/index.m3u8
BS-TBS,https://z88.ubtvfans.com/live/rx3/242/4b4c4b49ec2b764ff54a0e936ad83f9d/index.m3u8
BSテレビ東京,https://z88.ubtvfans.com/live/rx3/243/07ca060bad1c7197140e56d8961aa88b/index.m3u8
SATVニュース,https://z88.ubtvfans.com/live/rx6/1594/8a452238e33be22fdd0a634882976aee/index.m3u8
BSフジ,https://z88.ubtvfans.com/live/rx3/244/df6399cb66cfe5f5576a949f505e293e/index.m3u8
旅チャンネル,https://z88.ubtvfans.com/live/rx3/2304/394db2cafbb80deb56cb118a2e4912e0/index.m3u8
NHK BS Premium,https://z88.ubtvfans.com/live/rx3/2807/3568efd2b78c682be3f3b0f4e69a9fb6/index.m3u8
いつでも静岡,https://z88.ubtvfans.com/live/rx6/421/933b7be99846acb8f6a4d27d4e48999c/index.m3u8
TOKYO MX 1,https://z88.ubtvfans.com/live/rx3/2204/93adb890e0da4e44ddf92317d69ea8de/index.m3u8
TOKYO MX 2,https://z88.ubtvfans.com/live/rx3/2205/7442c992ccd7ca6019c4c5bba72f89fd/index.m3u8
朝日放送テレビ,https://z88.ubtvfans.com/live/rx3/237/33d83117a4e9a0e3fb07a60118b2c3a7/index.m3u8
時代劇専門チャンネル,https://z88.ubtvfans.com/live/rx3/287/af68cb94cc1a29abadfa8923685a212a/index.m3u8
TV Tokyo,https://z88.ubtvfans.com/live/rx3/123/dbf27fec71b4b51b680e976852d5844b/index.m3u8
J SPORTS 1,https://z88.ubtvfans.com/live/rx3/129/55ea62ab23fbf0da09edfc1d7397d8a5/index.m3u8
J SPORTS 2,https://z88.ubtvfans.com/live/rx3/130/e8bbacde39d30fabeff292d8833a077e/index.m3u8
J SPORTS 3,https://z88.ubtvfans.com/live/rx3/131/7ecc01571c6da60d6258d9acd447d003/index.m3u8
J SPORTS 4,https://z88.ubtvfans.com/live/rx3/132/81e51b9ff9eaec81dd7648f80dbd7b81/index.m3u8
ABC朝日,https://z88.ubtvfans.com/live/rx3/127/eecdb9f217fa7245ca09786eb2cdf5b7/index.m3u8
FU JI,https://z88.ubtvfans.com/live/rx3/122/f4737ef31e5ce7dd9c4c310d7c8b3277/index.m3u8
テレビ東京,https://z88.ubtvfans.com/live/rx3/2202/2e9aecf47da32e12f83ba3d43c1b5dff/index.m3u8
フジテレビ,https://z88.ubtvfans.com/live/rx3/2203/0f2081ff90d93e14a867bd5f5ea4f0b2/index.m3u8
テレビ朝日,https://z88.ubtvfans.com/live/rx3/125/0c02114965bc940f6fcfd9bca1df8a32/index.m3u8
大阪TV,https://z88.ubtvfans.com/live/rx3/126/e7584fbe00d2b5389aefd143f92c1244/index.m3u8
WOWOWプライム,https://z88.ubtvfans.com/live/rx3/133/62e3bb1a2aeffa015a924e9cc3b8d71c/index.m3u8
WOWOWライブ,https://z88.ubtvfans.com/live/rx3/134/78f35ccd1ad2b7e83a327cfef07a6c8f/index.m3u8
WOWOWシネマ,https://z88.ubtvfans.com/live/rx3/135/f4005e864733ae6e3fc575a952a4b896/index.m3u8
スターチャンネル1,https://z88.ubtvfans.com/live/rx3/136/b67857aefacb86ad7b373b084b54a565/index.m3u8
スターチャンネル2,https://z88.ubtvfans.com/live/rx3/137/8b397b99f2ef751c67908fff993356fc/index.m3u8
スターチャンネル3,https://z88.ubtvfans.com/live/rx3/138/17f5c8582db8ed197a776a36c8cdeab3/index.m3u8
日本テレビ,https://z88.ubtvfans.com/live/rx3/119/4afe8ce2807d2f69ae671f87789fa3bc/index.m3u8
毎日放送,https://z88.ubtvfans.com/live/rx3/199/78f146c6cbe7f97fadb2497798dcfcb7/index.m3u8
ゴルフネットワーク,https://z88.ubtvfans.com/live/rx3/249/2fca7718820ac8c809dd3537e6bf1752/index.m3u8
HTB北海道,https://z88.ubtvfans.com/live/rx6/39/aaac3c4278877be6bd54b4696ca6c025/index.m3u8
日テレG+,https://z88.ubtvfans.com/live/rx3/2298/c4872eba41f8f5aaacfbe9d8ca114928/index.m3u8
GAORA SPORTS,https://z88.ubtvfans.com/live/rx3/296/512fa36ef918329bbdb423c343644e53/index.m3u8
TBS,https://z88.ubtvfans.com/live/rx3/124/c31d8de5e577e9c17669de1369c9fb23/index.m3u8
TBS,https://z88.ubtvfans.com/live/rx3/2201/19eeae5fd67236d3dd33f412e4239b13/index.m3u8
アニマックス,https://z88.ubtvfans.com/live/rx3/139/e1e2dd4794c476b32a58e098e9d90a8f/index.m3u8
グリーンチャンネル,https://z88.ubtvfans.com/live/rx3/140/6f96eda95f39357fecc7363862530c17/index.m3u8
キッズステーション,https://z88.ubtvfans.com/live/rx3/289/844940cafcdef4a25f405e5d9d21affa/index.m3u8
静岡ニュース,https://z88.ubtvfans.com/live/rx6/297/bc2eac68191913bd6fee8748ae186df4/index.m3u8
カートゥーンネットワーク,https://z88.ubtvfans.com/live/rx3/1296/939a1d6e2abd4fb4876c00e682f6da34/index.m3u8
MUSIC ON! TV,https://z88.ubtvfans.com/live/rx3/288/16de7b19a7c8e6410904744724024f31/index.m3u8
